Word	start_frame	end_frame	chunk	interval_id
his	0.0	3.0	0	116686
health	3.0	8.0	0	116686
did	8.0	12.0	0	116686
you	12.0	14.0	0	116686
did	14.0	18.0	0	116686
you	18.0	20.0	0	116686
hear	20.0	21.0	0	116686
about	21.0	21.0	0	116686
this	21.0	26.0	0	116686
good	26.0	41.0	0	116686
that's	41.0	44.0	0	116686
why	44.0	45.0	0	116686
I'm	45.0	48.0	0	116686
here	48.0	77.0	0	116686
we	77.0	81.0	0	116686
are	81.0	83.0	0	116686
watch	83.0	87.0	0	116686
dr.	87.0	93.0	0	116686
Oz	93.0	101.0	0	116686
about	0.0	1.0	1	117304
this	1.0	4.0	1	117304
it	4.0	5.0	1	117304
just	5.0	7.0	1	117304
came	7.0	11.0	1	117304
out	11.0	13.0	1	117304
and	13.0	25.0	1	117304
this	25.0	26.0	1	117304
study	26.0	31.0	1	117304
shows	31.0	37.0	1	117304
that	37.0	38.0	1	117304
porn	38.0	47.0	1	117304
actresses	47.0	55.0	1	117304
porn	55.0	65.0	1	117304
actresses	65.0	73.0	1	117304
have	73.0	82.0	1	117304
higher	82.0	88.0	1	117304
self-esteem	88.0	98.0	1	117304
than	98.0	110.0	1	117304
other	110.0	115.0	1	117304
women	115.0	118.0	1	117304
yeah	118.0	152.0	1	117304
the	152.0	161.0	1	117304
study	161.0	164.0	1	117304
was	164.0	167.0	1	117304
conducted	167.0	169.0	1	117304
by	169.0	173.0	1	117304
a	173.0	175.0	1	117304
guy	175.0	178.0	1	117304
who's	178.0	182.0	1	117304
trying	182.0	184.0	1	117304
to	184.0	187.0	1	117304
talk	187.0	188.0	1	117304
his	188.0	191.0	1	117304
girlfriend	191.0	197.0	1	117304
into	197.0	200.0	1	117304
making	200.0	206.0	1	117304
a	206.0	208.0	1	117304
sex	208.0	214.0	1	117304
tape	214.0	238.0	1	117304
interesting	0.0	2.0	2	115560
the	2.0	4.0	2	115560
tree	4.0	11.0	2	115560
planted	11.0	20.0	2	115560
on	20.0	23.0	2	115560
the	23.0	23.0	2	115560
White	23.0	26.0	2	115560
House	26.0	29.0	2	115560
Salon	29.0	32.0	2	115560
under	32.0	41.0	2	115560
the	41.0	43.0	2	115560
tree	43.0	46.0	2	115560
plant	46.0	50.0	2	115560
on	50.0	52.0	2	115560
White	52.0	53.0	2	115560
House	53.0	56.0	2	115560
lawn	56.0	56.0	2	115560
by	56.0	67.0	2	115560
President	67.0	73.0	2	115560
Trump	73.0	76.0	2	115560
and	76.0	79.0	2	115560
French	79.0	82.0	2	115560
president	82.0	83.0	2	115560
macron	83.0	89.0	2	115560
has	89.0	97.0	2	115560
been	97.0	111.0	2	115560
of	0.0	27.0	4	117758
tonight's	27.0	33.0	4	117758
tiny	33.0	37.0	4	117758
set	37.0	43.0	4	117758
everyone	43.0	49.0	4	117758
who	49.0	51.0	4	117758
works	51.0	55.0	4	117758
here	55.0	55.0	4	117758
is	55.0	60.0	4	117758
getting	60.0	63.0	4	117758
a	63.0	64.0	4	117758
tiny	64.0	72.0	4	117758
paycheck	72.0	81.0	4	117758
isn't	81.0	84.0	4	117758
that	84.0	87.0	4	117758
nice	87.0	157.0	4	117758
regular	157.0	166.0	4	117758
check	166.0	172.0	4	117758
but	172.0	175.0	4	117758
does	175.0	178.0	4	117758
not	178.0	180.0	4	117758
very	180.0	184.0	4	117758
much	184.0	187.0	4	117758
I	187.0	208.0	4	117758
thought	208.0	213.0	4	117758
it	213.0	214.0	4	117758
was	214.0	217.0	4	117758
funny	217.0	219.0	4	117758
they	219.0	226.0	4	117758
didn't	226.0	234.0	4	117758
know	234.0	256.0	4	117758
we	256.0	258.0	4	117758
only	258.0	259.0	4	117758
have	259.0	264.0	4	117758
an	264.0	264.0	4	117758
hour	264.0	267.0	4	117758
then	267.0	283.0	4	117758
laid	283.0	285.0	4	117758
in	285.0	286.0	4	117758
general	286.0	289.0	4	117758
to	289.0	291.0	4	117758
be	291.0	292.0	4	117758
honest	292.0	297.0	4	117758
we	297.0	297.0	4	117758
have	297.0	298.0	4	117758
to	298.0	300.0	4	117758
get	300.0	301.0	4	117758
this	301.0	303.0	4	117758
furniture	303.0	307.0	4	117758
back	307.0	310.0	4	117758
to	310.0	312.0	4	117758
Snooki's	312.0	318.0	4	117758
house	318.0	322.0	4	117758
so	322.0	353.0	4	117758
entire	0.0	0.0	5	117147
