Word	start_frame	end_frame	chunk	interval_id
welcome	0.0	3.0	0	110492
to	3.0	6.0	0	110492
the	6.0	7.0	0	110492
season	7.0	13.0	0	110492
premiere	13.0	18.0	0	110492
of	18.0	21.0	0	110492
my	21.0	24.0	0	110492
show	24.0	27.0	0	110492
I'll	27.0	31.0	0	110492
be	31.0	33.0	0	110492
hosting	33.0	37.0	0	110492
all	37.0	48.0	0	110492
you're	0.0	0.0	1	19282
here	0.0	1.0	1	19282
I	1.0	7.0	1	19282
really	7.0	9.0	1	19282
am	9.0	15.0	1	19282
because	15.0	18.0	1	19282
we	18.0	21.0	1	19282
need	21.0	24.0	1	19282
to	24.0	25.0	1	19282
talk	25.0	27.0	1	19282
about	27.0	30.0	1	19282
something	30.0	37.0	1	19282
there's	37.0	43.0	1	19282
a	43.0	45.0	1	19282
subject	45.0	49.0	1	19282
that	49.0	52.0	1	19282
doesn't	52.0	57.0	1	19282
get	57.0	58.0	1	19282
enough	58.0	63.0	1	19282
attention	63.0	64.0	1	19282
here	64.0	73.0	1	19282
in	73.0	75.0	1	19282
the	75.0	78.0	1	19282
United	78.0	84.0	1	19282
States	84.0	88.0	1	19282
and	88.0	94.0	1	19282
it's	94.0	97.0	1	19282
my	97.0	99.0	1	19282
job	99.0	100.0	1	19282
as	100.0	112.0	1	19282
a	112.0	115.0	1	19282
host	115.0	121.0	1	19282
to	121.0	121.0	1	19282
shine	121.0	126.0	1	19282
a	126.0	127.0	1	19282
light	127.0	129.0	1	19282
on	129.0	132.0	1	19282
it	132.0	135.0	1	19282
and	135.0	139.0	1	19282
I'm	139.0	141.0	1	19282
talking	141.0	147.0	1	19282
about	147.0	147.0	1	19282
the	147.0	151.0	1	19282
Kardashians	151.0	219.0	1	19282
Kim	219.0	225.0	1	19282
Kardashian	225.0	234.0	1	19282
West	234.0	237.0	1	19282
was	237.0	241.0	1	19282
on	241.0	243.0	1	19282
the	243.0	244.0	1	19282
show	244.0	247.0	1	19282
last	247.0	253.0	1	19282
week	253.0	259.0	1	19282
and	259.0	264.0	1	19282
she	264.0	273.0	1	19282
was	0.0	4.0	2	21011
drunk	4.0	8.0	2	21011
so	8.0	21.0	2	21011
Star	0.0	0.0	3	21993
Wars	0.0	2.0	3	21993
characters	2.0	9.0	3	21993
there's	9.0	14.0	3	21993
a	14.0	15.0	3	21993
Han	15.0	21.0	3	21993
Solo	21.0	34.0	3	21993
they're	0.0	2.0	4	17647
watching	2.0	4.0	4	17647
TV	4.0	10.0	4	17647
the	10.0	20.0	4	17647
whole	20.0	23.0	4	17647
point	23.0	26.0	4	17647
of	26.0	29.0	4	17647
TV	29.0	34.0	4	17647
used	34.0	38.0	4	17647
to	38.0	40.0	4	17647
be	40.0	40.0	4	17647
to	40.0	41.0	4	17647
sit	41.0	44.0	4	17647
down	44.0	47.0	4	17647
and	47.0	52.0	4	17647
relax	52.0	55.0	4	17647
and	55.0	59.0	4	17647
now	59.0	66.0	4	17647
people	0.0	4.0	5	22895
are	4.0	10.0	5	22895
texting	10.0	15.0	5	22895
lol	15.0	22.0	5	22895
when	22.0	28.0	5	22895
they're	28.0	31.0	5	22895
not	31.0	33.0	5	22895
actually	33.0	37.0	5	22895
laughing	37.0	43.0	5	22895
out	43.0	45.0	5	22895
loud	45.0	70.0	5	22895
right	70.0	105.0	5	22895
I	105.0	109.0	5	22895
have	109.0	112.0	5	22895
one	112.0	115.0	5	22895
thing	115.0	117.0	5	22895
to	117.0	117.0	5	22895
say	117.0	118.0	5	22895
those	118.0	123.0	5	22895
people	123.0	129.0	5	22895
WTF	129.0	188.0	5	22895
mean	0.0	0.0	6	110929
he's	0.0	4.0	6	110929
a	4.0	4.0	6	110929
good	4.0	7.0	6	110929
smeller	7.0	18.0	6	110929
nothing	0.0	1.0	7	20810
day	1.0	8.0	7	20810
on	8.0	19.0	7	20810
nothing	19.0	32.0	7	20810
day	32.0	37.0	7	20810
count	37.0	46.0	7	20810
as	46.0	47.0	7	20810
doing	47.0	52.0	7	20810
something	52.0	80.0	7	20810
think	80.0	88.0	7	20810
about	88.0	89.0	7	20810
that	89.0	92.0	7	20810
blow	92.0	119.0	7	20810
your	119.0	121.0	7	20810
mind	121.0	127.0	7	20810
it	127.0	145.0	7	20810
would	145.0	148.0	7	20810
break	148.0	151.0	7	20810
the	151.0	152.0	7	20810
rules	152.0	158.0	7	20810
of	158.0	160.0	7	20810
doing	160.0	164.0	7	20810
nothing	164.0	169.0	7	20810
on	169.0	173.0	7	20810
nothing	173.0	178.0	7	20810
day	178.0	181.0	7	20810
I	181.0	188.0	7	20810
understand	188.0	196.0	7	20810
what	196.0	199.0	7	20810
we	199.0	200.0	7	20810
have	200.0	202.0	7	20810
Martin	202.0	209.0	7	20810
Luther	209.0	209.0	7	20810
King	209.0	217.0	7	20810
Day	217.0	220.0	7	20810
or	220.0	227.0	7	20810
gas	0.0	4.0	8	16810
station	4.0	6.0	8	16810
there	6.0	13.0	8	16810
was	13.0	15.0	8	16810
a	15.0	16.0	8	16810
whole	16.0	21.0	8	16810
area	21.0	31.0	8	16810
or	0.0	1.0	9	17006
the	1.0	4.0	9	17006
mother	4.0	7.0	9	17006
abandons	7.0	13.0	9	17006
them	13.0	16.0	9	17006
and	16.0	27.0	9	17006
she	27.0	31.0	9	17006
also	31.0	33.0	9	17006
wanted	33.0	39.0	9	17006
me	39.0	40.0	9	17006
to	40.0	42.0	9	17006
tell	42.0	43.0	9	17006
you	43.0	46.0	9	17006
that	46.0	49.0	9	17006
a	49.0	51.0	9	17006
bird	51.0	54.0	9	17006
in	54.0	55.0	9	17006
the	55.0	55.0	9	17006
hand	55.0	57.0	9	17006
is	57.0	60.0	9	17006
not	60.0	63.0	9	17006
worth	63.0	75.0	9	17006
two	75.0	76.0	9	17006
in	76.0	78.0	9	17006
the	78.0	79.0	9	17006
bush	79.0	79.0	9	17006
it's	79.0	109.0	9	17006
better	109.0	115.0	9	17006
to	115.0	117.0	9	17006
have	117.0	118.0	9	17006
them	118.0	120.0	9	17006
in	120.0	121.0	9	17006
the	121.0	123.0	9	17006
bush	123.0	127.0	9	17006
been	127.0	130.0	9	17006
in	130.0	132.0	9	17006
the	132.0	133.0	9	17006
hand	133.0	138.0	9	17006
and	138.0	150.0	9	17006
she's	0.0	0.0	10	109127
still	0.0	3.0	10	109127
wearing	3.0	4.0	10	109127
maternity	4.0	12.0	10	109127
underwear	12.0	21.0	10	109127
our	21.0	28.0	10	109127
youngest	28.0	40.0	10	109127
cranberries	0.0	3.0	11	22832
and	3.0	8.0	11	22832
they're	8.0	9.0	11	22832
dried	9.0	18.0	11	22832
TiVo	0.0	3.0	12	107837
really	3.0	16.0	12	107837
builds	16.0	22.0	12	107837
up	22.0	25.0	12	107837
if	25.0	28.0	12	107837
you	28.0	30.0	12	107837
don't	30.0	31.0	12	107837
watch	31.0	36.0	12	107837
every	36.0	39.0	12	107837
I	39.0	42.0	12	107837
have	42.0	45.0	12	107837
a	45.0	45.0	12	107837
lot	45.0	48.0	12	107837
of	48.0	49.0	12	107837
stuff	49.0	52.0	12	107837
in	52.0	54.0	12	107837
there	54.0	57.0	12	107837
and	57.0	66.0	12	107837
so	66.0	69.0	12	107837
I	69.0	72.0	12	107837
had	72.0	75.0	12	107837
to	75.0	76.0	12	107837
watch	76.0	79.0	12	107837
for	79.0	83.0	12	107837
I	0.0	0.0	13	17494
didn't	0.0	4.0	13	17494
think	4.0	4.0	13	17494
I	4.0	9.0	13	17494
could	9.0	10.0	13	17494
lift	10.0	15.0	13	17494
it	15.0	16.0	13	17494
but	16.0	21.0	13	17494
you	0.0	1.0	14	21809
know	1.0	3.0	14	21809
they	3.0	4.0	14	21809
say	4.0	6.0	14	21809
the	6.0	9.0	14	21809
only	9.0	12.0	14	21809
thing	12.0	15.0	14	21809
that's	15.0	18.0	14	21809
certain	18.0	21.0	14	21809
is	21.0	24.0	14	21809
death	24.0	25.0	14	21809
and	25.0	31.0	14	21809
taxes	31.0	37.0	14	21809
but	37.0	39.0	14	21809
it's	39.0	42.0	14	21809
also	42.0	46.0	14	21809
Colorado	0.0	2.0	15	107743
have	2.0	10.0	15	107743
discovered	10.0	17.0	15	107743
of	17.0	19.0	15	107743
procrastination	19.0	31.0	15	107743
Gene	31.0	41.0	15	107743
apparently	41.0	56.0	15	107743
if	56.0	58.0	15	107743
you	58.0	59.0	15	107743
look	59.0	64.0	15	107743
at	64.0	65.0	15	107743
it	65.0	67.0	15	107743
under	67.0	70.0	15	107743
the	70.0	73.0	15	107743
microscope	73.0	74.0	15	107743
it's	74.0	86.0	15	107743
the	86.0	88.0	15	107743
only	88.0	94.0	15	107743
Gene	94.0	100.0	15	107743
that's	100.0	101.0	15	107743
watching	101.0	106.0	15	107743
cat	106.0	112.0	15	107743
videos	112.0	113.0	15	107743
on	113.0	119.0	15	107743
YouTube	119.0	160.0	15	107743
and	160.0	166.0	15	107743
the	166.0	171.0	15	107743
contestants	0.0	5.0	16	19352
work	5.0	9.0	16	19352
very	9.0	17.0	16	19352
very	17.0	18.0	16	19352
hard	18.0	35.0	16	19352
felt	0.0	4.0	17	111581
it	4.0	5.0	17	111581
one	5.0	8.0	17	111581
with	8.0	10.0	17	111581
universe	10.0	13.0	17	111581
and	13.0	20.0	17	111581
so	20.0	25.0	17	111581
I	25.0	38.0	17	111581
have	38.0	41.0	17	111581
my	41.0	43.0	17	111581
red	43.0	46.0	17	111581
beans	46.0	49.0	17	111581
and	49.0	52.0	17	111581
rice	52.0	53.0	17	111581
it's	53.0	58.0	17	111581
in	58.0	59.0	17	111581
my	59.0	61.0	17	111581
Tupperware	61.0	71.0	17	111581
and	71.0	74.0	17	111581
now	74.0	77.0	17	111581
I	77.0	79.0	17	111581
have	79.0	80.0	17	111581
to	80.0	82.0	17	111581
look	82.0	83.0	17	111581
for	83.0	86.0	17	111581
the	86.0	88.0	17	111581
lid	88.0	91.0	17	111581
so	91.0	100.0	17	111581
I	100.0	115.0	17	111581
look	115.0	118.0	17	111581
for	118.0	121.0	17	111581
the	121.0	122.0	17	111581
lid	122.0	124.0	17	111581
drawer	124.0	130.0	17	111581
and	130.0	136.0	17	111581
I	136.0	137.0	17	111581
all	137.0	142.0	17	111581
organized	142.0	149.0	17	111581
all	149.0	151.0	17	111581
the	151.0	154.0	17	111581
lids	154.0	155.0	17	111581
are	155.0	158.0	17	111581
in	158.0	160.0	17	111581
the	160.0	160.0	17	111581
lid	160.0	163.0	17	111581
drawer	163.0	169.0	17	111581
and	169.0	173.0	17	111581
I	173.0	173.0	17	111581
have	173.0	176.0	17	111581
to	176.0	178.0	17	111581
find	178.0	181.0	17	111581
the	181.0	184.0	17	111581
perfect	184.0	191.0	17	111581
circle	191.0	197.0	17	111581
that	197.0	202.0	17	111581
fits	202.0	205.0	17	111581
the	205.0	208.0	17	111581
Tupperware	208.0	214.0	17	111581
so	214.0	218.0	17	111581
I	218.0	226.0	17	111581
find	226.0	233.0	17	111581
the	233.0	239.0	17	111581
perfect	239.0	248.0	17	111581
one	248.0	251.0	17	111581
or	251.0	257.0	17	111581
so	257.0	260.0	17	111581
I	260.0	262.0	17	111581
thought	262.0	265.0	17	111581
I	265.0	272.0	17	111581
press	272.0	277.0	17	111581
it	277.0	278.0	17	111581
down	278.0	281.0	17	111581
and	281.0	295.0	17	111581
you	295.0	296.0	17	111581
know	296.0	298.0	17	111581
you	298.0	299.0	17	111581
have	299.0	301.0	17	111581
to	301.0	302.0	17	111581
go	302.0	305.0	17	111581
all	305.0	307.0	17	111581
the	307.0	308.0	17	111581
way	308.0	310.0	17	111581
around	310.0	313.0	17	111581
on	313.0	316.0	17	111581
the	316.0	317.0	17	111581
side	317.0	325.0	17	111581
to	325.0	326.0	17	111581
get	326.0	328.0	17	111581
to	328.0	331.0	17	111581
that	331.0	332.0	17	111581
place	332.0	335.0	17	111581
where	335.0	337.0	17	111581
you	337.0	338.0	17	111581
burp	338.0	343.0	17	111581
it	343.0	347.0	17	111581
mustard	0.0	14.0	18	21472
and	14.0	17.0	18	21472
ketchup	17.0	22.0	18	21472
and	22.0	73.0	18	21472
but	73.0	104.0	18	21472
if	104.0	110.0	18	21472
you're	110.0	113.0	18	21472
a	113.0	113.0	18	21472
spring	113.0	122.0	18	21472
and	122.0	130.0	18	21472
it's	130.0	131.0	18	21472
fall	131.0	140.0	18	21472
you're	140.0	143.0	18	21472
not	143.0	147.0	18	21472
breaks	0.0	5.0	19	19213
it	5.0	23.0	19	19213
was	23.0	26.0	19	19213
worse	26.0	31.0	19	19213
than	31.0	32.0	19	19213
that	32.0	34.0	19	19213
it	34.0	38.0	19	19213
was	38.0	40.0	19	19213
just	40.0	41.0	19	19213
there	41.0	46.0	19	19213
was	46.0	47.0	19	19213
water	47.0	55.0	19	19213
everywhere	55.0	58.0	19	19213
just	58.0	67.0	19	19213
flooded	67.0	74.0	19	19213
everywhere	74.0	79.0	19	19213
so	79.0	80.0	19	19213
we	80.0	82.0	19	19213
had	82.0	85.0	19	19213
to	85.0	85.0	19	19213
call	85.0	88.0	19	19213
Roto-Rooter	88.0	94.0	19	19213
and	94.0	115.0	19	19213
so	115.0	130.0	19	19213
you	130.0	133.0	19	19213
know	133.0	134.0	19	19213
that's	134.0	137.0	19	19213
nice	137.0	142.0	19	19213
to	142.0	143.0	19	19213
have	143.0	146.0	19	19213
a	146.0	146.0	19	19213
rotor	146.0	151.0	19	19213
rotor	151.0	155.0	19	19213
truck	155.0	160.0	19	19213
right	160.0	164.0	19	19213
in	164.0	164.0	19	19213
the	164.0	166.0	19	19213
middle	166.0	169.0	19	19213
of	169.0	170.0	19	19213
a	170.0	172.0	19	19213
party	172.0	176.0	19	19213
that's	176.0	179.0	19	19213
that's	179.0	184.0	19	19213
always	184.0	187.0	19	19213
that	187.0	194.0	19	19213
class	194.0	199.0	19	19213
is	199.0	200.0	19	19213
it	200.0	202.0	19	19213
up	202.0	205.0	19	19213
and	205.0	215.0	19	19213
they	215.0	229.0	19	19213
spent	229.0	232.0	19	19213
hours	232.0	239.0	19	19213
sneaking	239.0	245.0	19	19213
out	245.0	248.0	19	19213
the	248.0	250.0	19	19213
toilet	250.0	261.0	19	19213
can	0.0	0.0	20	106506
press	0.0	5.0	20	106506
a	5.0	5.0	20	106506
button	5.0	9.0	20	106506
on	9.0	12.0	20	106506
my	12.0	14.0	20	106506
iPhone	14.0	18.0	20	106506
and	18.0	23.0	20	106506
tell	23.0	26.0	20	106506
it	26.0	27.0	20	106506
to	27.0	29.0	20	106506
play	29.0	32.0	20	106506
Katy	32.0	36.0	20	106506
Perry	36.0	41.0	20	106506
and	41.0	42.0	20	106506
you	42.0	45.0	20	106506
know	45.0	45.0	20	106506
what	45.0	47.0	20	106506
it	47.0	48.0	20	106506
does	48.0	53.0	20	106506
it	53.0	60.0	20	106506
calls	60.0	65.0	20	106506
my	65.0	66.0	20	106506
friend	66.0	71.0	20	106506
Larry	71.0	122.0	20	106506
but	122.0	133.0	20	106506
a	0.0	0.0	21	110039
movie	0.0	2.0	21	110039
open	2.0	9.0	21	110039
me	9.0	11.0	21	110039
and	11.0	21.0	21	110039
or	21.0	44.0	21	110039
maybe	44.0	48.0	21	110039
we'll	48.0	50.0	21	110039
fly	50.0	53.0	21	110039
running	53.0	57.0	21	110039
her	57.0	60.0	21	110039
golden	60.0	69.0	21	110039
I	0.0	2.0	22	23521
don't	2.0	5.0	22	23521
know	5.0	6.0	22	23521
I	6.0	9.0	22	23521
would	9.0	12.0	22	23521
think	12.0	14.0	22	23521
now	14.0	18.0	22	23521
I'm	18.0	21.0	22	23521
thinking	21.0	24.0	22	23521
about	24.0	27.0	22	23521
it	27.0	33.0	22	23521
and	33.0	36.0	22	23521
so	36.0	39.0	22	23521
I	39.0	42.0	22	23521
thought	42.0	45.0	22	23521
you	45.0	54.0	22	23521
know	54.0	71.0	22	23521
chef	0.0	1.0	24	23893
I	1.0	3.0	24	23893
don't	3.0	7.0	24	23893
know	7.0	17.0	24	23893
deserves	0.0	3.0	25	18151
a	3.0	4.0	25	18151
day	4.0	6.0	25	18151
off	6.0	7.0	25	18151
now	7.0	13.0	25	18151
and	13.0	15.0	25	18151
then	15.0	21.0	25	18151
right	0.0	0.0	26	24155
here	0.0	3.0	26	24155
right	3.0	6.0	26	24155
in	6.0	6.0	26	24155
front	6.0	8.0	26	24155
of	8.0	11.0	26	24155
you	11.0	14.0	26	24155
it's	14.0	15.0	26	24155
a	15.0	17.0	26	24155
new	17.0	20.0	26	24155
segment	20.0	23.0	26	24155
that	23.0	27.0	26	24155
I'm	27.0	30.0	26	24155
calling	30.0	33.0	26	24155
say	33.0	38.0	26	24155
it	38.0	39.0	26	24155
to	39.0	42.0	26	24155
my	42.0	44.0	26	24155
face	44.0	54.0	26	24155
the	0.0	0.0	27	108110
only	0.0	1.0	27	108110
way	1.0	4.0	27	108110
I	4.0	4.0	27	108110
can	4.0	7.0	27	108110
do	7.0	9.0	27	108110
it	9.0	10.0	27	108110
I	10.0	13.0	27	108110
I	13.0	13.0	27	108110
would	13.0	18.0	27	108110
to	18.0	21.0	27	108110
send	21.0	25.0	27	108110
you	25.0	27.0	27	108110
a	27.0	27.0	27	108110
text	27.0	31.0	27	108110
but	31.0	34.0	27	108110
I	34.0	36.0	27	108110
was	36.0	37.0	27	108110
using	37.0	42.0	27	108110
my	42.0	43.0	27	108110
phone	43.0	45.0	27	108110
for	45.0	49.0	27	108110
15	49.0	55.0	27	108110
minutes	55.0	57.0	27	108110
and	57.0	63.0	27	108110
that	63.0	66.0	27	108110
battery	66.0	72.0	27	108110
died	72.0	73.0	27	108110
so	73.0	79.0	27	108110
I	79.0	81.0	27	108110
can't	81.0	85.0	27	108110
do	85.0	87.0	27	108110
that	87.0	104.0	27	108110
of	0.0	85.0	28	109824
course	85.0	91.0	28	109824
there	91.0	94.0	28	109824
was	94.0	94.0	28	109824
Coneheads	94.0	107.0	28	109824
Big	0.0	18.0	29	19055
Cheese	18.0	23.0	29	19055
Log	23.0	39.0	29	19055
Kido	0.0	1.0	30	17717
you	1.0	7.0	30	17717
overslept	7.0	37.0	30	17717
my	0.0	58.0	31	17272
character	58.0	65.0	31	17272
Ellen	65.0	70.0	31	17272
Morgan	70.0	73.0	31	17272
came	73.0	77.0	31	17272
out	77.0	80.0	31	17272
as	80.0	83.0	31	17272
a	83.0	83.0	31	17272
lesbian	83.0	85.0	31	17272
on	85.0	92.0	31	17272
national	92.0	98.0	31	17272
television	98.0	100.0	31	17272
and	100.0	107.0	31	17272
I	107.0	110.0	31	17272
Ellen	110.0	116.0	31	17272
DeGeneres	116.0	124.0	31	17272
came	124.0	127.0	31	17272
out	127.0	130.0	31	17272
at	130.0	131.0	31	17272
the	131.0	133.0	31	17272
same	133.0	134.0	31	17272
time	134.0	143.0	31	17272
and	143.0	146.0	31	17272
this	146.0	148.0	31	17272
was	148.0	152.0	31	17272
before	152.0	158.0	31	17272
Facebook	158.0	164.0	31	17272
so	164.0	172.0	31	17272
if	172.0	175.0	31	17272
you	175.0	176.0	31	17272
wanted	176.0	179.0	31	17272
to	179.0	181.0	31	17272
announce	181.0	184.0	31	17272
something	184.0	190.0	31	17272
it	190.0	200.0	31	17272
was	200.0	203.0	31	17272
the	203.0	205.0	31	17272
only	205.0	208.0	31	17272
way	208.0	212.0	31	17272
you	212.0	215.0	31	17272
knew	215.0	220.0	31	17272
you	220.0	229.0	31	17272
had	229.0	230.0	31	17272
to	230.0	232.0	31	17272
get	232.0	235.0	31	17272
a	235.0	236.0	31	17272
sitcom	236.0	241.0	31	17272
and	241.0	250.0	31	17272
that	250.0	251.0	31	17272
was	251.0	266.0	31	17272
is	266.0	272.0	31	17272
how	272.0	275.0	31	17272
we	275.0	277.0	31	17272
did	277.0	278.0	31	17272
think	278.0	283.0	31	17272
it	283.0	286.0	31	17272
was	286.0	289.0	31	17272
the	289.0	290.0	31	17272
first	290.0	293.0	31	17272
time	293.0	295.0	31	17272
the	295.0	296.0	31	17272
lead	296.0	299.0	31	17272
character	299.0	305.0	31	17272
on	305.0	308.0	31	17272
TV	308.0	311.0	31	17272
had	311.0	316.0	31	17272
come	316.0	317.0	31	17272
out	317.0	320.0	31	17272
our	320.0	325.0	31	17272
this	325.0	326.0	31	17272
was	326.0	331.0	31	17272
before	331.0	332.0	31	17272
Will	332.0	337.0	31	17272
&	337.0	340.0	31	17272
Grace	340.0	344.0	31	17272
and	344.0	346.0	31	17272
Cam	346.0	350.0	31	17272
and	350.0	350.0	31	17272
Mitchell	350.0	356.0	31	17272
and	356.0	358.0	31	17272
Hoda	358.0	362.0	31	17272
and	362.0	364.0	31	17272
Kathie	364.0	368.0	31	17272
Lee	368.0	368.0	31	17272
and	368.0	419.0	31	17272
it	419.0	425.0	31	17272
was	425.0	430.0	31	17272
a	430.0	433.0	31	17272
week	433.0	440.0	31	17272
it	440.0	443.0	31	17272
was	443.0	445.0	31	17272
called	445.0	449.0	31	17272
